region,value
alabama,2
alaska,2
arizona,6
arkansas,1
california,75
colorado,2
connecticut,14
delaware,1
florida,11
georgia,13
hawaii,2
idaho,0
illinois,29
indiana,1
iowa,1
kansas,0
kentucky,4
louisiana,1
maine,3
maryland,14
massachusetts,22
michigan,5
minnesota,7
mississippi,7
missouri,4
montana,1
nebraska,1
nevada,2
new hampshire,4
new jersey,17
new mexico,3
new york,85
north carolina,13
north dakota,0
ohio,9
oklahoma,3
oregon,4
pennsylvania,18
rhode island,6
south carolina,1
south dakota,0
tennessee,3
texas,10
utah,3
vermont,5
virginia,27
washington,19
west virginia,0
wisconsin,5
wyoming,0
